timestamp,fatigue_score,mean_hold_time,mean_flight_time,is_fatigued_pred
1764597235.2752686,3,0.1,0,True
1764597250.955964,5,0,0,True
1764597825.9029555,1,0.12813480695088705,0.40256463397632947,True
1764597885.233978,1,0.12847674496566194,0.30377238783343086,True
1764634255.7516484,1,0.14920159180959067,0.262960821390152,True
1764634312.1037748,1,0.192627443586077,1.6707249509877171,True
1764634370.960355,1,0.20223615017343075,0.1358290282162753,True
1764635689.1873178,1,0.17322284525090997,0.1048289140065511,True
1764636160.3282976,1,0.12381458282470703,0.1833389683773643,True
1764636279.772222,1,0.12528135132615584,0.1312579780543616,True
1764636455.3948288,2,0.09236809611320496,0.3069508482770222,True
1764636640.2115846,1,0.13085309664408365,1.2721471309661865,True
1764636964.2038069,1,0.13215217590332032,0.3608987331390381,True
1764639162.6538746,1,0.130447644936411,0.12152160065514701,True
1764639215.1992488,1,0.1738878281220146,1.4310435354709625,True
1764639361.7823205,1,0.336090612411499,2.625205874443054,True
